Language,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
2,115,117,98,115,104,97,102,116,115,0,0,0,0,0,0,0,0,0,0,0
2,107,97,109,105,99,104,105,115,0,0,0,0,0,0,0,0,0,0,0,0
2,102,97,114,102,97,108,108,101,0,0,0,0,0,0,0,0,0,0,0,0
2,118,105,108,108,97,105,110,105,115,105,110,103,0,0,0,0,0,0,0,0
2,97,110,116,105,114,101,103,117,108,97,116,111,114,121,0,0,0,0,0,0
2,105,109,112,101,97,114,108,101,100,0,0,0,0,0,0,0,0,0,0,0
2,102,114,105,116,104,115,116,111,111,108,0,0,0,0,0,0,0,0,0,0
2,115,101,110,104,111,114,105,116,97,0,0,0,0,0,0,0,0,0,0,0
2,98,108,105,110,100,105,110,103,108,121,0,0,0,0,0,0,0,0,0,0
2,104,121,103,114,111,115,99,111,112,105,99,97,108,0,0,0,0,0,0,0
2,108,105,112,117,114,105,97,115,0,0,0,0,0,0,0,0,0,0,0,0
2,115,101,99,99,111,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,117,98,117,114,98,97,110,105,115,109,0,0,0,0,0,0,0,0,0
2,98,97,115,116,97,114,100,105,101,115,0,0,0,0,0,0,0,0,0,0
2,118,111,99,97,116,105,111,110,0,0,0,0,0,0,0,0,0,0,0,0
2,117,110,99,108,111,117,100,101,100,0,0,0,0,0,0,0,0,0,0,0
2,115,105,110,105,115,116,114,97,108,115,0,0,0,0,0,0,0,0,0,0
2,98,108,111,119,98,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,117,112,109,97,114,107,101,116,105,110,103,0,0,0,0,0,0,0,0,0
2,99,111,114,107,105,114,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,97,109,112,108,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111,114,103,97,110,105,99,115,0,0,0,0,0,0,0,0,0,0,0,0
2,100,105,115,99,101,114,110,97,98,108,121,0,0,0,0,0,0,0,0,0
2,102,114,105,99,97,110,100,111,101,115,0,0,0,0,0,0,0,0,0,0
2,114,111,115,101,116,116,101,100,0,0,0,0,0,0,0,0,0,0,0,0
2,115,117,98,116,97,115,107,115,0,0,0,0,0,0,0,0,0,0,0,0
2,97,100,97,112,116,97,98,105,108,105,116,121,0,0,0,0,0,0,0,0
2,111,118,101,114,105,115,115,117,97,110,99,101,0,0,0,0,0,0,0,0
2,113,117,97,114,97,110,116,105,110,101,0,0,0,0,0,0,0,0,0,0
2,112,114,97,110,100,105,97,108,0,0,0,0,0,0,0,0,0,0,0,0
2,112,101,114,99,101,112,116,105,111,110,97,108,0,0,0,0,0,0,0,0
2,117,110,116,104,114,105,102,116,121,104,101,97,100,0,0,0,0,0,0,0
2,115,109,97,108,116,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,118,101,114,109,105,99,117,108,97,116,101,0,0,0,0,0,0,0,0,0
2,117,112,98,114,97,105,100,101,100,0,0,0,0,0,0,0,0,0,0,0
2,112,104,97,110,116,97,115,105,101,100,0,0,0,0,0,0,0,0,0,0
2,118,111,116,97,114,101,115,115,101,115,0,0,0,0,0,0,0,0,0,0
2,99,111,110,116,114,111,108,108,101,100,0,0,0,0,0,0,0,0,0,0
2,103,114,105,109,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,114,111,116,101,111,108,121,115,101,0,0,0,0,0,0,0,0,0,0
2,116,101,108,101,115,99,111,112,101,100,0,0,0,0,0,0,0,0,0,0
2,117,110,99,111,109,102,105,101,114,0,0,0,0,0,0,0,0,0,0,0
2,119,111,114,114,105,101,100,108,121,0,0,0,0,0,0,0,0,0,0,0
2,116,105,109,101,115,101,114,118,105,110,103,115,0,0,0,0,0,0,0,0
2,99,97,118,97,108,108,105,101,115,0,0,0,0,0,0,0,0,0,0,0
2,104,121,100,114,111,112,104,111,98,105,97,0,0,0,0,0,0,0,0,0
2,99,111,115,112,111,110,115,111,114,115,104,105,112,115,0,0,0,0,0,0
2,109,105,115,112,101,114,115,117,97,100,101,115,0,0,0,0,0,0,0,0
2,100,117,99,116,105,108,105,116,105,101,115,0,0,0,0,0,0,0,0,0
2,112,114,111,118,105,110,99,105,97,108,105,115,101,115,0,0,0,0,0,0
2,112,105,101,114,114,101,116,116,101,115,0,0,0,0,0,0,0,0,0,0
2,102,111,97,109,105,110,101,115,115,0,0,0,0,0,0,0,0,0,0,0
2,115,99,108,101,114,111,112,104,121,108,108,105,101,115,0,0,0,0,0,0
2,115,112,101,101,100,105,110,103,0,0,0,0,0,0,0,0,0,0,0,0
2,112,114,111,102,101,115,115,105,111,110,97,108,105,122,101,100,0,0,0,0
2,97,116,116,101,110,100,101,101,115,0,0,0,0,0,0,0,0,0,0,0
2,98,105,103,101,110,101,114,115,0,0,0,0,0,0,0,0,0,0,0,0
2,112,97,105,110,116,101,114,108,121,0,0,0,0,0,0,0,0,0,0,0
2,105,114,114,97,116,105,111,110,97,108,105,116,121,0,0,0,0,0,0,0
2,97,108,103,101,98,114,97,105,115,116,115,0,0,0,0,0,0,0,0,0
2,99,104,105,108,108,110,101,115,115,0,0,0,0,0,0,0,0,0,0,0
2,106,111,117,97,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111,118,101,114,102,111,110,100,0,0,0,0,0,0,0,0,0,0,0,0
2,100,105,115,115,111,99,105,97,108,105,122,101,115,0,0,0,0,0,0,0
2,115,101,97,116,114,111,117,116,115,0,0,0,0,0,0,0,0,0,0,0
2,103,111,110,97,100,111,116,114,111,112,105,110,115,0,0,0,0,0,0,0
2,97,110,103,108,105,99,105,122,101,100,0,0,0,0,0,0,0,0,0,0
2,118,101,114,97,112,97,109,105,108,115,0,0,0,0,0,0,0,0,0,0
2,98,97,114,105,116,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,117,99,99,105,110,99,116,111,114,105,117,109,0,0,0,0,0,0,0
2,109,97,108,97,100,109,105,110,105,115,116,101,114,115,0,0,0,0,0,0
2,112,105,116,117,105,116,97,115,0,0,0,0,0,0,0,0,0,0,0,0
2,99,114,97,110,105,111,116,111,109,121,0,0,0,0,0,0,0,0,0,0
2,116,119,105,110,101,114,115,0,0,0,0,0,0,0,0,0,0,0,0,0
2,122,97,109,98,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,108,97,110,116,115,107,105,112,0,0,0,0,0,0,0,0,0,0,0,0
2,97,105,115,108,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,110,99,121,99,108,105,99,97,108,0,0,0,0,0,0,0,0,0,0
2,101,120,111,110,101,114,97,116,111,114,115,0,0,0,0,0,0,0,0,0
2,108,101,120,105,99,97,108,105,116,121,0,0,0,0,0,0,0,0,0,0
2,103,111,103,103,108,101,114,115,0,0,0,0,0,0,0,0,0,0,0,0
2,115,105,116,122,109,97,114,107,0,0,0,0,0,0,0,0,0,0,0,0
2,115,101,109,105,110,111,109,97,115,0,0,0,0,0,0,0,0,0,0,0
2,112,97,114,114,97,107,101,101,116,0,0,0,0,0,0,0,0,0,0,0
2,109,111,117,116,101,114,101,114,115,0,0,0,0,0,0,0,0,0,0,0
2,112,114,111,116,111,99,111,108,105,122,101,0,0,0,0,0,0,0,0,0
2,98,97,114,101,104,97,110,100,101,100,0,0,0,0,0,0,0,0,0,0
2,112,114,111,112,111,110,101,110,116,0,0,0,0,0,0,0,0,0,0,0
2,99,97,110,116,104,97,108,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,105,99,110,105,99,107,101,114,115,0,0,0,0,0,0,0,0,0,0
2,111,115,116,101,105,116,105,115,101,115,0,0,0,0,0,0,0,0,0,0
2,105,114,114,101,103,97,114,100,108,101,115,115,0,0,0,0,0,0,0,0
2,112,97,112,97,108,105,122,105,110,103,0,0,0,0,0,0,0,0,0,0
2,114,97,100,105,97,116,105,111,110,97,108,0,0,0,0,0,0,0,0,0
2,116,114,105,99,104,111,108,111,103,105,115,116,115,0,0,0,0,0,0,0
2,117,105,110,116,97,116,104,101,114,101,0,0,0,0,0,0,0,0,0,0
2,103,97,115,116,114,97,101,117,109,0,0,0,0,0,0,0,0,0,0,0
2,98,101,97,117,116,105,102,105,99,97,116,105,111,110,0,0,0,0,0,0
2,114,101,99,101,105,118,97,98,105,108,105,116,121,0,0,0,0,0,0,0
2,100,105,115,116,114,117,115,116,102,117,108,110,101,115,115,101,115,0,0,0
2,101,116,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,111,98,108,111,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,113,117,101,101,110,108,121,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,111,100,111,115,112,104,101,114,101,0,0,0,0,0,0,0,0,0,0
2,115,117,115,112,105,114,101,0,0,0,0,0,0,0,0,0,0,0,0,0
