Word,Language,Input,Expected Result,Result,Match
Datenfiles,German,"(68, 97, 116, 101, 110, 102, 105, 108, 101, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,4,True
arrollo,Spanish,"(97, 114, 114, 111, 108, 108, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,3,False
trapèze,French,"(116, 114, 97, 112, 232, 122, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,3,True
correspondencias,Spanish,"(99, 111, 114, 114, 101, 115, 112, 111, 110, 100, 101, 110, 99, 105, 97, 115, 0, 0, 0, 0)",1,2,False
enserre,French,"(101, 110, 115, 101, 114, 114, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,2,False
Schwangerschaftstags,German,"(83, 99, 104, 119, 97, 110, 103, 101, 114, 115, 99, 104, 97, 102, 116, 115, 116, 97, 103, 115)",4,4,True
haranguassiez,French,"(104, 97, 114, 97, 110, 103, 117, 97, 115, 115, 105, 101, 122, 0, 0, 0, 0, 0, 0, 0)",3,3,True
reduplicación,Spanish,"(114, 101, 100, 117, 112, 108, 105, 99, 97, 99, 105, 243, 110, 0, 0, 0, 0, 0, 0, 0)",1,2,False
virgo,Spanish,"(118, 105, 114, 103, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,2,False
monoptote,English,"(109, 111, 110, 111, 112, 116, 111, 116, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,2,True
bielas,Spanish,"(98, 105, 101, 108, 97, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1,2,False
壗屘偩偐,Japanese,"(22743, 23640, 20585, 20560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
柪偭偨,Japanese,"(26602, 20589, 20584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",5,5,True
