Word,Language,Len,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
pitanzas,1,8,112,105,116,97,110,122,97,115,0,0,0,0,0,0,0,0,0,0,0,0
gredosidad,1,10,103,114,101,100,111,115,105,100,97,100,0,0,0,0,0,0,0,0,0,0
enmohecemos,1,11,101,110,109,111,104,101,99,101,109,111,115,0,0,0,0,0,0,0,0,0
castigaran,1,10,99,97,115,116,105,103,97,114,97,110,0,0,0,0,0,0,0,0,0,0
culminabas,1,10,99,117,108,109,105,110,97,98,97,115,0,0,0,0,0,0,0,0,0,0
estoqueó,1,8,101,115,116,111,113,117,101,243,0,0,0,0,0,0,0,0,0,0,0,0
carnosas,1,8,99,97,114,110,111,115,97,115,0,0,0,0,0,0,0,0,0,0,0,0
retraiendo,1,10,114,101,116,114,97,105,101,110,100,111,0,0,0,0,0,0,0,0,0,0
extirpáis,1,9,101,120,116,105,114,112,225,105,115,0,0,0,0,0,0,0,0,0,0,0
tonifique,1,9,116,111,110,105,102,105,113,117,101,0,0,0,0,0,0,0,0,0,0,0
sugería,1,7,115,117,103,101,114,237,97,0,0,0,0,0,0,0,0,0,0,0,0,0
suturó,1,6,115,117,116,117,114,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superabundancias,1,16,115,117,112,101,114,97,98,117,110,100,97,110,99,105,97,115,0,0,0,0
caracoleasteis,1,14,99,97,114,97,99,111,108,101,97,115,116,101,105,115,0,0,0,0,0,0
presidencias,1,12,112,114,101,115,105,100,101,110,99,105,97,115,0,0,0,0,0,0,0,0
corcoveáramos,1,13,99,111,114,99,111,118,101,225,114,97,109,111,115,0,0,0,0,0,0,0
infiltrado,1,10,105,110,102,105,108,116,114,97,100,111,0,0,0,0,0,0,0,0,0,0
desasiendo,1,10,100,101,115,97,115,105,101,110,100,111,0,0,0,0,0,0,0,0,0,0
hendedor,1,8,104,101,110,100,101,100,111,114,0,0,0,0,0,0,0,0,0,0,0,0
conformarais,1,12,99,111,110,102,111,114,109,97,114,97,105,115,0,0,0,0,0,0,0,0
criptografía,1,12,99,114,105,112,116,111,103,114,97,102,237,97,0,0,0,0,0,0,0,0
foto,1,4,102,111,116,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enardecíais,1,11,101,110,97,114,100,101,99,237,97,105,115,0,0,0,0,0,0,0,0,0
abonador,1,8,97,98,111,110,97,100,111,114,0,0,0,0,0,0,0,0,0,0,0,0
tensabas,1,8,116,101,110,115,97,98,97,115,0,0,0,0,0,0,0,0,0,0,0,0
desnaturalizaran,1,16,100,101,115,110,97,116,117,114,97,108,105,122,97,114,97,110,0,0,0,0
desmenuzado,1,11,100,101,115,109,101,110,117,122,97,100,111,0,0,0,0,0,0,0,0,0
depuramos,1,9,100,101,112,117,114,97,109,111,115,0,0,0,0,0,0,0,0,0,0,0
tabicaréis,1,10,116,97,98,105,99,97,114,233,105,115,0,0,0,0,0,0,0,0,0,0
devalúan,1,8,100,101,118,97,108,250,97,110,0,0,0,0,0,0,0,0,0,0,0,0
mordisquearías,1,14,109,111,114,100,105,115,113,117,101,97,114,237,97,115,0,0,0,0,0,0
perfeccionara,1,13,112,101,114,102,101,99,99,105,111,110,97,114,97,0,0,0,0,0,0,0
criticaría,1,10,99,114,105,116,105,99,97,114,237,97,0,0,0,0,0,0,0,0,0,0
ensombrece,1,10,101,110,115,111,109,98,114,101,99,101,0,0,0,0,0,0,0,0,0,0
esculpió,1,8,101,115,99,117,108,112,105,243,0,0,0,0,0,0,0,0,0,0,0,0
hipotecan,1,9,104,105,112,111,116,101,99,97,110,0,0,0,0,0,0,0,0,0,0,0
complementado,1,13,99,111,109,112,108,101,109,101,110,116,97,100,111,0,0,0,0,0,0,0
taconearais,1,11,116,97,99,111,110,101,97,114,97,105,115,0,0,0,0,0,0,0,0,0
desamortizaste,1,14,100,101,115,97,109,111,114,116,105,122,97,115,116,101,0,0,0,0,0,0
charlatana,1,10,99,104,97,114,108,97,116,97,110,97,0,0,0,0,0,0,0,0,0,0
contraapelaríamos,1,17,99,111,110,116,114,97,97,112,101,108,97,114,237,97,109,111,115,0,0,0
inventarié,1,10,105,110,118,101,110,116,97,114,105,233,0,0,0,0,0,0,0,0,0,0
raspen,1,6,114,97,115,112,101,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readjudicaste,1,13,114,101,97,100,106,117,100,105,99,97,115,116,101,0,0,0,0,0,0,0
colocabais,1,10,99,111,108,111,99,97,98,97,105,115,0,0,0,0,0,0,0,0,0,0
asiremos,1,8,97,115,105,114,101,109,111,115,0,0,0,0,0,0,0,0,0,0,0,0
infusoria,1,9,105,110,102,117,115,111,114,105,97,0,0,0,0,0,0,0,0,0,0,0
peinéis,1,7,112,101,105,110,233,105,115,0,0,0,0,0,0,0,0,0,0,0,0,0
extraterrestres,1,15,101,120,116,114,97,116,101,114,114,101,115,116,114,101,115,0,0,0,0,0
descuides,1,9,100,101,115,99,117,105,100,101,115,0,0,0,0,0,0,0,0,0,0,0
proclamado,1,10,112,114,111,99,108,97,109,97,100,111,0,0,0,0,0,0,0,0,0,0
perjuraremos,1,12,112,101,114,106,117,114,97,114,101,109,111,115,0,0,0,0,0,0,0,0
misántropas,1,11,109,105,115,225,110,116,114,111,112,97,115,0,0,0,0,0,0,0,0,0
estirpáramos,1,12,101,115,116,105,114,112,225,114,97,109,111,115,0,0,0,0,0,0,0,0
empuñamientos,1,13,101,109,112,117,241,97,109,105,101,110,116,111,115,0,0,0,0,0,0,0
localizábamos,1,13,108,111,99,97,108,105,122,225,98,97,109,111,115,0,0,0,0,0,0,0
señalizar,1,9,115,101,241,97,108,105,122,97,114,0,0,0,0,0,0,0,0,0,0,0
abogad,1,6,97,98,111,103,97,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ortografías,1,11,111,114,116,111,103,114,97,102,237,97,115,0,0,0,0,0,0,0,0,0
decantándose,1,12,100,101,99,97,110,116,225,110,100,111,115,101,0,0,0,0,0,0,0,0
verbal,1,6,118,101,114,98,97,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malgastadoramente,1,17,109,97,108,103,97,115,116,97,100,111,114,97,109,101,110,116,101,0,0,0
hospedéis,1,9,104,111,115,112,101,100,233,105,115,0,0,0,0,0,0,0,0,0,0,0
computarán,1,10,99,111,109,112,117,116,97,114,225,110,0,0,0,0,0,0,0,0,0,0
parabólica,1,10,112,97,114,97,98,243,108,105,99,97,0,0,0,0,0,0,0,0,0,0
trames,1,6,116,114,97,109,101,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invertebrados,1,13,105,110,118,101,114,116,101,98,114,97,100,111,115,0,0,0,0,0,0,0
favoreces,1,9,102,97,118,111,114,101,99,101,115,0,0,0,0,0,0,0,0,0,0,0
socavabais,1,10,115,111,99,97,118,97,98,97,105,115,0,0,0,0,0,0,0,0,0,0
discurran,1,9,100,105,115,99,117,114,114,97,110,0,0,0,0,0,0,0,0,0,0,0
contactábamos,1,13,99,111,110,116,97,99,116,225,98,97,109,111,115,0,0,0,0,0,0,0
arrulláis,1,9,97,114,114,117,108,108,225,105,115,0,0,0,0,0,0,0,0,0,0,0
codeando,1,8,99,111,100,101,97,110,100,111,0,0,0,0,0,0,0,0,0,0,0,0
aullaba,1,7,97,117,108,108,97,98,97,0,0,0,0,0,0,0,0,0,0,0,0,0
reptará,1,7,114,101,112,116,97,114,225,0,0,0,0,0,0,0,0,0,0,0,0,0
versificaríamos,1,15,118,101,114,115,105,102,105,99,97,114,237,97,109,111,115,0,0,0,0,0
incapacitabais,1,14,105,110,99,97,112,97,99,105,116,97,98,97,105,115,0,0,0,0,0,0
colegían,1,8,99,111,108,101,103,237,97,110,0,0,0,0,0,0,0,0,0,0,0,0
esmerilaría,1,11,101,115,109,101,114,105,108,97,114,237,97,0,0,0,0,0,0,0,0,0
alertamente,1,11,97,108,101,114,116,97,109,101,110,116,101,0,0,0,0,0,0,0,0,0
intima,1,6,105,110,116,105,109,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angustiado,1,10,97,110,103,117,115,116,105,97,100,111,0,0,0,0,0,0,0,0,0,0
abrocharíais,1,12,97,98,114,111,99,104,97,114,237,97,105,115,0,0,0,0,0,0,0,0
bolearas,1,8,98,111,108,101,97,114,97,115,0,0,0,0,0,0,0,0,0,0,0,0
desperdiciaron,1,14,100,101,115,112,101,114,100,105,99,105,97,114,111,110,0,0,0,0,0,0
aleccionado,1,11,97,108,101,99,99,105,111,110,97,100,111,0,0,0,0,0,0,0,0,0
soslayarías,1,11,115,111,115,108,97,121,97,114,237,97,115,0,0,0,0,0,0,0,0,0
familiaricé,1,11,102,97,109,105,108,105,97,114,105,99,233,0,0,0,0,0,0,0,0,0
descomponíamos,1,14,100,101,115,99,111,109,112,111,110,237,97,109,111,115,0,0,0,0,0,0
cándida,1,7,99,225,110,100,105,100,97,0,0,0,0,0,0,0,0,0,0,0,0,0
engullirán,1,10,101,110,103,117,108,108,105,114,225,110,0,0,0,0,0,0,0,0,0,0
empalagaré,1,10,101,109,112,97,108,97,103,97,114,233,0,0,0,0,0,0,0,0,0,0
charlaría,1,9,99,104,97,114,108,97,114,237,97,0,0,0,0,0,0,0,0,0,0,0
preguntaras,1,11,112,114,101,103,117,110,116,97,114,97,115,0,0,0,0,0,0,0,0,0
enceraré,1,8,101,110,99,101,114,97,114,233,0,0,0,0,0,0,0,0,0,0,0,0
corvábamos,1,10,99,111,114,118,225,98,97,109,111,115,0,0,0,0,0,0,0,0,0,0
resaltes,1,8,114,101,115,97,108,116,101,115,0,0,0,0,0,0,0,0,0,0,0,0
simpatizasteis,1,14,115,105,109,112,97,116,105,122,97,115,116,101,105,115,0,0,0,0,0,0
cabezazos,1,9,99,97,98,101,122,97,122,111,115,0,0,0,0,0,0,0,0,0,0,0
fracasarás,1,10,102,114,97,99,97,115,97,114,225,115,0,0,0,0,0,0,0,0,0,0
embanastarán,1,12,101,109,98,97,110,97,115,116,97,114,225,110,0,0,0,0,0,0,0,0
perneras,1,8,112,101,114,110,101,114,97,115,0,0,0,0,0,0,0,0,0,0,0,0
enseñaríamos,1,12,101,110,115,101,241,97,114,237,97,109,111,115,0,0,0,0,0,0,0,0
cambiaban,1,9,99,97,109,98,105,97,98,97,110,0,0,0,0,0,0,0,0,0,0,0
formulará,1,9,102,111,114,109,117,108,97,114,225,0,0,0,0,0,0,0,0,0,0,0
estatificad,1,11,101,115,116,97,116,105,102,105,99,97,100,0,0,0,0,0,0,0,0,0
lóbregamente,1,12,108,243,98,114,101,103,97,109,101,110,116,101,0,0,0,0,0,0,0,0
auditorium,1,10,97,117,100,105,116,111,114,105,117,109,0,0,0,0,0,0,0,0,0,0
retractaras,1,11,114,101,116,114,97,99,116,97,114,97,115,0,0,0,0,0,0,0,0,0
muñecas,1,7,109,117,241,101,99,97,115,0,0,0,0,0,0,0,0,0,0,0,0,0
cacofónicamente,1,15,99,97,99,111,102,243,110,105,99,97,109,101,110,116,101,0,0,0,0,0
unanimidad,1,10,117,110,97,110,105,109,105,100,97,100,0,0,0,0,0,0,0,0,0,0
saqueador,1,9,115,97,113,117,101,97,100,111,114,0,0,0,0,0,0,0,0,0,0,0
dirimieras,1,10,100,105,114,105,109,105,101,114,97,115,0,0,0,0,0,0,0,0,0,0
enfurecerían,1,12,101,110,102,117,114,101,99,101,114,237,97,110,0,0,0,0,0,0,0,0
indecorosa,1,10,105,110,100,101,99,111,114,111,115,97,0,0,0,0,0,0,0,0,0,0
floristas,1,9,102,108,111,114,105,115,116,97,115,0,0,0,0,0,0,0,0,0,0,0
supon,1,5,115,117,112,111,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
