Language,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
1,101,108,101,99,116,114,105,122,97,114,97,105,115,0,0,0,0,0,0,0
1,103,114,101,100,111,115,105,100,97,100,0,0,0,0,0,0,0,0,0,0
1,101,110,109,111,104,101,99,101,109,111,115,0,0,0,0,0,0,0,0,0
1,97,99,111,113,117,105,110,97,114,225,0,0,0,0,0,0,0,0,0,0
1,99,97,115,116,105,103,97,114,97,110,0,0,0,0,0,0,0,0,0,0
1,99,117,108,109,105,110,97,98,97,115,0,0,0,0,0,0,0,0,0,0
1,101,115,116,111,113,117,101,243,0,0,0,0,0,0,0,0,0,0,0,0
1,99,111,110,102,117,116,101,115,0,0,0,0,0,0,0,0,0,0,0,0
1,99,97,114,110,111,115,97,115,0,0,0,0,0,0,0,0,0,0,0,0
1,114,101,99,97,108,101,110,0,0,0,0,0,0,0,0,0,0,0,0,0
1,115,117,115,116,101,110,116,97,0,0,0,0,0,0,0,0,0,0,0,0
1,114,101,116,114,97,105,101,110,100,111,0,0,0,0,0,0,0,0,0,0
1,97,109,97,100,114,105,110,97,114,97,105,115,0,0,0,0,0,0,0,0
1,102,108,101,116,97,114,101,109,111,115,0,0,0,0,0,0,0,0,0,0
1,116,111,110,105,102,105,113,117,101,0,0,0,0,0,0,0,0,0,0,0
1,115,117,103,101,114,237,97,0,0,0,0,0,0,0,0,0,0,0,0,0
1,115,117,112,101,114,97,98,117,110,100,97,110,99,105,97,115,0,0,0,0
1,112,114,101,115,105,100,101,110,99,105,97,115,0,0,0,0,0,0,0,0
1,99,111,114,99,111,118,101,225,114,97,109,111,115,0,0,0,0,0,0,0
1,100,101,115,97,115,105,101,110,100,111,0,0,0,0,0,0,0,0,0,0
1,99,111,110,102,111,114,109,97,114,97,105,115,0,0,0,0,0,0,0,0
1,102,111,116,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101,110,97,114,100,101,99,237,97,105,115,0,0,0,0,0,0,0,0,0
1,97,98,111,110,97,100,111,114,0,0,0,0,0,0,0,0,0,0,0,0
